sentence_index,num_bytes,num_patches,avg_patch_length,mean_entropy,min_entropy,max_entropy,text_preview
12,875,102,8.58,0.4407,0.0002,3.2163,यामुळे खर्च योग्य उत्पन्नात वाढ आणि किंमतींमधील घट यामुळे आणखी प्रोत्साहन मिळू श
13,695,90,7.72,0.4655,0.0002,3.2225,चहलला सामनावीराचा तर धोनीला मालिकावीराचा पुरस्कार मिळाला २०२२ मध्ये भारताच्या स्
14,1061,109,9.73,0.4066,0.0002,3.267,यावेळी मंत्री एकनाथ शिंदे सुभाष देसाई जयंत पाटील आदित्य ठाकरे मुख्य सचिव अजोय मे
15,1085,127,8.54,0.4492,0.0002,3.2309,विरार नालासोपाऱ्याच्या रेल्वे ट्रॅकवर पाणी साचल्याने वाहतूक पूर्णपणे ठप्प झाली आ
16,2076,285,7.28,0.4936,0.0002,3.2196,नीरव मोदीच्या मुंबई सुरत आणि नवी दिल्लीतील कार्यालये शोरुम्स आणि वर्कशॉप्सवर ईडी
17,692,72,9.61,0.4048,0.0002,3.267,याप्रकरणी त्याने पिंपरी पोलीस ठाण्यात तक्रार दाखल केली आहे याशिवाय ती लवकरच आमिर
18,1154,154,7.49,0.4723,0.0002,3.267,यहोवाने त्याला इशायाच्या मुलांपैकी एकाला इस्राएलचा नवीन राजा म्हणून अभिषेक करण्य
19,888,119,7.46,0.4972,0.0002,3.267,यानुसार या परिसरात शोधमोहीम राबवण्यात आली चा सदस्य असलेला लाओस सध्या फिफाच्या जा
20,914,124,7.37,0.5061,0.0002,3.267,दोन दिवसांत तलाव क्षेत्रात दमदार पाऊस झाल्याने तलावांच्या पातळीत कमालीची वाढ झाल
21,1230,142,8.66,0.4495,0.0002,3.2145,आरोग्य आणि सुखासाठी योगाभ्यास ही सर्वांगिण पद्धती उपराष्ट्रपती ही ऑरेंज कॅप पंजा
22,748,86,8.7,0.4324,0.0002,3.1869,पोलिसांचा मोठा बंदोबस्त तैनात करण्यात आला असून जमावबंदी आदेश लागू करण्यात आला आह
23,859,111,7.74,0.462,0.0002,3.267,वर्ष 2010 पासून मलेशियाबरोबर भारताची धोरणात्मक भागीदारी आहे जागतिक स्तरावर धोरणा
24,561,67,8.37,0.4538,0.0002,3.2212,हे चारही जण सध्या मिरजेतील रुग्णालयात दाखल आहेत उदाहरणार्थ मी राहत असलेल्या घरात
25,1076,148,7.27,0.5144,0.0001,3.2629,15000 नागरिकांना प्रत्येकाच्या खात्यात प्रत्येकी 1000 रुपयांचे बक्षिस जमा केले ज
26,908,123,7.38,0.5023,0.0002,3.187,प्रीती दाखवण्यामध्ये इतरांबद्दल गाढ स्नेह असणे त्यांच्याबद्दल निर्लोभ काळजी असणे
27,832,90,9.24,0.4186,0.0002,3.1869,त्यासाठी राज्यातील सर्वपक्षीय नेते पदाधिकारी आणि कार्यकर्ते उपस्थित होते जन सामा
28,716,81,8.84,0.4284,0.0002,3.1943,गेल्या काही दिवसांपासून भाजपचे ३ नेते ईडीच्या कार्यालयात जातात येशूच्या शिष्यांन
29,894,93,9.61,0.4216,0.0002,3.2493,नवी दिल्ली पाकिस्तानचा अष्टपैलू खेळाडू शहीद अफ्रिदी याच्या टीकेला हिंदुस्थानचा ध
30,1330,165,8.06,0.4646,0.0002,3.267,राज्य सरकारने प्रत्येक अर्जदाराला रोजगार दिला पाहिजे तसे ते करू शकले नाही तर अर्
31,663,92,7.21,0.5082,0.0002,3.267,अपघातानंतर दोन्ही मोटारी रस्त्याच्या बाजूल असलेल्या झाडावर जाऊन आदळल्या अवघ्या ए
32,717,89,8.06,0.4531,0.0002,3.2109,गृहमंत्री या नात्याते सुशीलकुमार शिंदे यांनी आयोजित केलेली हंी मुख्यमंत्र्यांची 
33,1005,127,7.91,0.4789,0.0002,3.2352,आठ महिन्यांनंतर म्हणजे जुलै २६ १९७४ रोजी मीगल आणि मी बाप्तिस्मा घेतला आजाराची लक
34,726,91,7.98,0.4689,0.0002,3.1869,राज्याचे प्रचारक या नात्याने “माघार घेणाऱ्‍यांपैकी आपण नाही ” खंडोबा जेथे बसला 
35,558,67,8.33,0.4331,0.0002,3.1993,शहरात उपचारासाठी दाखल रुग्णांची संख्या ११२३ होती ह्या स्पर्धेमध्ये ४९ देशांमधील 
36,944,115,8.21,0.4756,0.0001,3.267,त्यामुळे इस्राएलांना असे प्राणी त्यांना देण्याची अथवा विकण्याची परवानगी होती ते 
37,924,110,8.4,0.4571,0.0002,3.267,शाहरुख खानची मुलगी सुहाना खान सोशल मीडियाची फेवरिट आहे विजयी उमेदवारांनी फटाक्या
38,934,125,7.47,0.4828,0.0002,3.1942,अनिल डी सहस्त्रबुद्धे यांनी सांगितले की स्मार्ट इंडिया हॅकेथॉनच्या या दुसऱ्याच व
39,840,104,8.08,0.4801,0.0002,3.202,आज संपूर्ण जग भारताच्या या उद्याची दखल घेत आहे या देशांतर्गत कार्गो सेवेने दिल्ल
40,1129,109,10.36,0.385,0.0002,3.2157,लोकसभा आणि त्यानंतर महाराष्ट्रातील विधानसभा निवडणुकीत भाजपाला मिळालेल्या घवघवीत 
41,978,110,8.89,0.441,0.0002,3.1869,परंतु अजूनही शिवसेना आणि भाजप यांच्यातील चर्चा मुख्यमंत्रीपदावरुन अडली आहे अहरोन
42,1007,135,7.46,0.4702,0.0002,3.2993,प्रकल्पाच्या अंमलबजावणीवर आणि एकूणच देखरेखीवर नजर ठेवण्यासाठी विभागामार्फत 28 ऑग
43,951,103,9.23,0.4323,0.0002,3.216,तुमचे राजकारण प्रतीक्षा करू शकतेमात्र आपल्या देशाची सुरक्षा पणाला लागली जाते कां
44,1096,142,7.72,0.4839,0.0002,3.1869,सैफ अली खानशी लगीनगाठ मारल्यानंतर करीना कपूर लग्नानंतर सत्याग्रह करणार आहे अतिवृ
45,1333,152,8.77,0.4336,0.0002,3.261,दरम्यान शहा यांनी नॅशनल रजिस्टर ऑफ सिटिझन एनआरसी ला केवळ राष्ट्रीय सुरक्षेसाठीच 
46,897,115,7.8,0.4645,0.0002,3.267,मुंबई येत्या शनिवारी पाऊस मुंबईसह महाराष्ट्रातून काढता पाय घेणार असल्याचे हवामान
47,1014,130,7.8,0.4692,0.0002,3.2075,तो बरेचदा खेळाडू आणि पंचांशी वादात पडला आहे यामध्ये सहा पैकी चार आरोपींना अटक कर
48,1315,134,9.81,0.391,0.0002,3.271,सर्व मृतदेहांना ताब्यात घेऊन त्यांना शवविच्छेदनासाठी जवळील सरकारी रुग्णालयात रवा
49,1115,162,6.88,0.5157,0.0002,3.1948,त्यांनी वाराणसी रिंग रोड फेज 1 चे उद्घाटन केले आणि एनएच 56 च्या बाबतपूरवाराणसी य
50,1175,141,8.33,0.4408,0.0002,3.267,ब्रिक्स शिखर परिषदेच्या पार्श्वभूमीवर पंतप्रधान नरेंद्र मोदी आणि ब्राझीलचे राष्ट
51,1088,131,8.31,0.4572,0.0002,3.2082,१९१३ मध्ये इंग्रजी गीतांजलीसाठी मोठ्या प्रमाणावर साहित्याचे नोबेल पारितोषिक जिंक
52,1016,117,8.68,0.4488,0.0002,3.1874,या सत्रामध्ये संरक्षण मंत्री आणि सीडीएस चीफ ऑफ डिफेन्स स्टाफ उपस्थित राहून अधिका
53,746,77,9.69,0.4011,0.0002,3.1869,या टप्प्यात एकूण 98 उमेदवार निवडणुकीच्या मैदानात असणार आहेत मात्र अशा प्रकारची घ
54,1359,182,7.47,0.4855,0.0002,3.2161,पण मगिद्दो या ठिकाणी कोणती युद्धे लढली गेली हे महत्त्वाचे नाही तर ती युद्धे का ल
55,1042,127,8.2,0.4543,0.0002,3.267,यहेज्केल १७ २२ २४ व २१ २६ २७ मध्ये लिहून ठेवण्यात आलेल्या भविष्यवाण्या मशिही राज
56,744,83,8.96,0.4285,0.0002,3.267,सैतानाने येशूला आमिष दाखवून त्याची निष्ठा भंग करण्याचा प्रयत्न केला सुदैवाने या 
57,653,87,7.51,0.5081,0.0002,3.1869,आणि अखेर तिने वैतागून पोलीस स्थानकात तक्रार दाखल केली डिप्लोमा पदवी प्रशिक्षण मह
58,884,117,7.56,0.4744,0.0002,3.194,या व्यवहारामुळे एमएमआरडीएला मुंबईतील मेट्रो रेल्वे प्रकल्प पूर्ण करता येईल मात्र
59,862,111,7.77,0.4593,0.0002,3.267,त्यामुळे सतत नैराश्य येणे आत्महत्या गैरवर्तणूक यांचे प्रमाण वाढत आहे कुठल्याही य
60,440,71,6.2,0.5364,0.0002,3.2169,त्यांनी त्याचं शरीर पुलावरून ढकलून पाण्यात टाकलं तिला मूलबाळ नव्हतं पण 2019 ला स
61,1141,151,7.56,0.497,0.0002,3.2543,अ बायबल अभ्यासाकरता अतिरिक्‍त वेळ आपल्याला कशाप्रकारे काढता येईल यावेळी त्यांनी 
62,772,105,7.35,0.4794,0.0002,3.2438,अभिनय करत असले तरी डान्स हे माझं पॅशन आहे माझी आवड आहे तर हे सुनिश्चित करा की आप
63,1148,165,6.96,0.5075,0.0002,3.2322,जर राजा खूप लोकांवर राज्य करत असला तर तो महान असतो पण जर तिथे लोकच नसले तर त्या 
64,986,130,7.58,0.4766,0.0002,3.1869,हिंदू व मुस्लीम पक्षकारांनी न्यायालयासमोर युक्तीवाद करत आपआपली बाजू ठामपणे मांडल
65,1398,153,9.14,0.4072,0.0002,3.194,यानंतर स्मिथ अमेरिकेत गेला व ब्लाडेन्सबर्गच्या लढाईत लढला वॉशिंग्टन भारत हा अमेर
66,1005,135,7.44,0.4779,0.0002,3.3028,भगवान बसवेश्वर यांनी म्हटले होते कर्मन्नेवेह कर्माणि ईजि विशेषत् शतगुम” म्हणजे आ
67,1075,121,8.88,0.4258,0.0002,3.217,मेळाव्याची सुरुवात मान्यवरांच्या हस्ते दीपप्रज्वलनाने झाली काही दिवसांपूर्वी विर
68,723,96,7.53,0.4724,0.0002,3.267,तेव्हा स्टेफनी तिथं सेवा करणाऱ्‍या पॉल नॉर्टन या तरुण बांधवाला भेटली भुवनेश्वर 
69,992,103,9.63,0.4397,0.0002,3.267,आमिरच्या “सिक्रेट सुपरस्टार’चे डायरेक्‍शन करणाऱ्या अद्वैत चंदनवर या सिनेमाच्या द
70,836,84,9.95,0.3914,0.0002,3.1869,या राज्यांतील भाजप सरकारांनी जनतेच्या कल्याणासाठी अथक मेहनत घेतली असे मोदी यांनी
71,858,119,7.21,0.4885,0.0002,3.1869,तुझ्या मार्गांत मला नवजीवन दे ” अशी लवकरात लवकर यहोवाला विनवणी करणे किती अत्यावश
72,1087,127,8.56,0.4368,0.0002,3.267,कॉंग्रेस तृणमूल कॉंग्रेस द्रमुक समाजवादी पक्ष बहुजन समाजवादी पक्ष आम आदमी पक्ष व
73,948,117,8.1,0.449,0.0002,3.2175,मला सांगण्यात आले आहे कि उडान योजनेअंतर्गत हिमाचल प्रदेशने हेलीटैक्सी सेवा सुरु 
74,1235,143,8.64,0.4179,0.0002,3.2195,गोयल म्हणाले की विशेषतः लहान आणि सीमांत शेतकऱ्यांना ही मदत चालू वर्षाच्या डिसेंब
75,960,113,8.5,0.454,0.0002,3.267,हवामानबदलामुळे सर्व क्षेत्रांत उलथापालथ घडवणाऱ्या बदलांना वेग आला आहे काश्मीरसंब
76,1035,119,8.7,0.4434,0.0002,3.2285,मात्र अद्याप शासनाकडून त्याबाबतचे अधिकृत कोणतेही पत्र काढण्यात आलेले नाही या प्र
77,864,100,8.64,0.4392,0.0001,3.267,यामुळे परिसरात भूस्खलनाचा धोका निर्माण झाला आहे अमिताभ बच्चन यांच्या काउंटचा प्र
78,740,100,7.4,0.4809,0.0002,3.2003,तामीळनाडूचे 111 शेतकरी वाराणसीत मोदींविरोधात लढणार सायन उड्डाण पुलाचे स्ट्रक्चरल
79,979,95,10.31,0.3766,0.0002,3.199,संगणक संपर्क व्यवस्था network क्षेत्रात झालेल्या प्रगतीमुळे विकेंद्रित संचालन प्
80,1044,124,8.42,0.4564,0.0002,3.267,पुणे पोलिसांनी दिल्ली विद्यापीठातील प्राध्यापकांच्या घराची वॉरंटशिवाय झडती घेतल्
81,575,80,7.19,0.5073,0.0002,3.221,यात आपल्याकरता कोणता धडा आहे तंबाखू खाण्यामुळे फक्त कॅन्सरच नाही तर इतरही काही आ
82,1186,152,7.8,0.4865,0.0002,3.1869,त्यामुळे एखादे कुटुंब गरीब असो वा श्रीमंत त्यांना स्वतःचे घर बांधणे तसे सोयीचे ह
83,820,106,7.74,0.4978,0.0002,3.2185,घटनेनंतर आंदोलकांमध्ये पोलिसांविरुद्ध रोष व्यक्त होताना दिसून आला अंगमेहनतीच्या 
84,762,111,6.86,0.51,0.0003,3.2964,दुसऱ्या हाफमध्ये स्पेनकडून आक्रमक खेळ सुरू झाला आणि त्यांना गोल करत सामन्यात आपल
85,695,102,6.81,0.5019,0.0002,3.2001,श्वेता तिवारीने पती अभिनव कोहलीविरोधत पोलिसांत तक्रार दिली होती आपला मित्र झोपला
86,725,103,7.04,0.5032,0.0002,3.267,एकदा राजाच्या पूर्वजन्माच्या पापामुळे त्याच्या राज्यात तीन वर्षे पाऊस पडला नाही 
87,832,91,9.14,0.4256,0.0002,3.267,पंतप्रधान नरेंद्र मोदी नेहमीच असा दावा करतात की केंद्र सरकारने भ्रष्टाचार निर्मू
88,638,74,8.62,0.4346,0.0002,3.1869,त्याशिवाय ज्यात गुंतवणूक करता येईल अशा अनेक क्षेत्रांचा त्यांनी उल्लेख केला भारत
89,882,120,7.35,0.4775,0.0002,3.1899,सिदकीयाने यहोवाच्या नावाने शपथ घेतली होती आणि त्याने ती पाळावी अशी यहोवाची अपेक्
90,1359,138,9.85,0.4067,0.0002,3.267,टीम इंडियाचा कर्णधार विराट कोहलीने या मॅचमध्ये टॉस जिंकून पहिले बॉलिंगचा निर्णय 
91,871,122,7.14,0.5081,0.0002,3.2394,बायबल ज्या मूळ भाषेत लिहिण्यात आलं होतं त्यात ‘ ऐकणं ’ याचा अर्थ सहसा ‘ आज्ञा पा
92,836,122,6.85,0.5168,0.0002,3.267,निसार अहमद शेख निशाद अहमद आणि आझाद हुसेन अशी त्यांची नावे आहेत या प्रकरणात एसटीए
93,971,125,7.77,0.4543,0.0002,3.2361,नवी दिल्ली येथे केंद्रीय ऊर्जा मंत्री स्वतंत्र कार्यभार आर के सिंग यांच्या शुभ ह
94,930,122,7.62,0.4468,0.0002,3.267,बॉलिवूड अभिनेता सलमान खान चित्रपटातून वेळ काढून आपल्या कुटुंबासोबत काही खास वेळ 
95,893,95,9.4,0.4007,0.0002,3.2205,आगामी वार्षिक परिषदेच्या यशाामुळे भारतजपान दरम्यानची विशेष सामरिक आणि जागतिक भाग
96,821,106,7.75,0.4698,0.0002,3.2187,या मिरवणुकीत बालक युवक महिला मोठ्या संख्येने सहभागी झाले होते ख गूढ शक्‍तींशी जर
97,1380,179,7.71,0.469,0.0002,3.267,आपले सरकार आर्थिक वृद्धी आणि कायदेशीररित्या नियमांचे पालन करणाऱ्या कंपन्यांच्या 
98,1350,166,8.13,0.463,0.0002,3.267,या प्रकरणी अद्याप कोणताही गुन्हा दाखल झालेला नाही नरेंद्र मोदी यांच्या पूर्ण बहु
99,1017,136,7.48,0.4783,0.0002,3.2458,तिचा खेळाप्रती असलेला शांत दृष्टिकोण संपूर्ण संघाला नक्कीच मदत करेल पंतप्रधान नर
100,934,105,8.9,0.4462,0.0002,3.267,झिरो चित्रपटात शाहरुख खानसोबतच अनुष्का शर्मा आणि कतरिना कैफ मुख्य भूमिकेत आहेत ह
101,753,94,8.01,0.4663,0.0002,3.194,या हल्ल्यात पोलीस कर्मचाऱ्यांसह शेकडो लोकांना आपले प्राण गमवावे लागले होते यानंत
102,1128,146,7.73,0.4788,0.0002,3.2131,मात्र अशा परिस्थितीत देखील जेव्हा त्यांनी जग पाहिले आणि त्यांनी लिहिले आहे की जे
103,780,98,7.96,0.4745,0.0002,3.2389,मंगळवारी इंडी न्यायालयाने त्यांना पाच दिवसांसाठी कोठडीत घेण्याची परवानगी दिली आह
104,1191,134,8.89,0.4267,0.0002,3.267,याबरोबरच सर्वोच्च न्यायालयाचे माजी न्यायाधीश मार्कंडेय काटजू यांनी अत्यंत कमकुवत
105,616,76,8.11,0.4761,0.0002,3.267,रुंद रस्ते आणि शहराचा विस्तीर्ण विस्तार शहराला भव्यता देतात नेहाने तिच्या इन्स्ट
106,1225,136,9.01,0.4302,0.0002,3.2913,देशातील व्यवसाय सुलभतेची प्रक्रियेचा विस्तार करून ती अधिक गतीमान करण्यासाठी तसेच
107,780,73,10.68,0.3888,0.0002,3.267,पोलिसांनी मृतदेह शवविच्छेदन करण्यासाठी औंध रुग्णालयात पाठवला याप्रसंगी राज्याचे 
108,1148,142,8.08,0.4556,0.0002,3.1905,एमपीसी न्यूज भारताचा माजी फलंदाज vvs लक्ष्मणने रोहितच्या खेळाचं कौतुक करत ipl मध
109,970,124,7.82,0.4581,0.0003,3.1888,मुंबई विधानसभा निवडणुकीसाठी भाजपने आपली चौथी यादी जाहीर केली आहे आमची सार्वत्रिक
110,893,140,6.38,0.5676,0.0002,3.2347,नीतिसूत्रे २४ १६ पण चूक झाल्यावर ते त्या अनुभवातून शिकतात शहाणे होतात आणि जीवनात
111,984,93,10.58,0.3858,0.0002,3.267,यानंतर माजी मुख्यमंत्री देवेंद्र फडणवीस यांच्या पत्नी अमृता फडणवीस यांनी शिवसेना
112,1150,146,7.88,0.4662,0.0002,3.267,मी परमेश्वर व प्रभू आहे मी जिवंत आहे माझ्या प्रतिज्ञेवर सांगतो की सदोम व तिच्या 
113,1014,117,8.67,0.4418,0.0002,3.1811,“ याकरता आपण आपल्या जीवनात या कार्याला प्रथम स्थान दिले पाहिजे मनोरंजन लोकानुनय 
114,959,138,6.95,0.5323,0.0002,3.267,काम बंद राहिल्यामुळे त्यांना माघारी फिरावे लागले त्याने दगडाला प्रहार केला आणि त
115,1098,115,9.55,0.4102,0.0002,3.194,मुख्यमंत्री उद्धव ठाकरे यांनी दिल्लीत नुकतीच पंतप्रधान नरेंद्र मोदी यांची भेट घे
116,798,101,7.9,0.4701,0.0002,3.1869,रिअलमीच्या या दोन्ही स्मार्टफोनची विक्री फ्लिपकार्टद्वारे होणार या आंतरिक संघर्ष
117,875,99,8.84,0.4046,0.0002,3.2187,ही समिती सखोल चौकशी करीत असून त्याच्या अहवाल सरकारला सादर करणार आहे श्रीनगर जम्म
118,804,99,8.12,0.4612,0.0003,3.267,याबाबत दिघी पोलीस ठाण्यात गुन्हा दाखल झाला असून पोलीस अधिक तपास करत आहेत शेवटी द
119,912,105,8.69,0.4446,0.0002,3.2005,त्यानंतर महेंद्रसिंह धोनी आणि रोहित शर्माने भारताला विजयाच्या जवळ नेलं मी तुझी र
120,840,95,8.84,0.4448,0.0002,3.1869,त्यांना काही चित्रपटांसाठी उत्कृष्ट अभिनेत्रीचा पुरस्कारही मिळाला आहे निःपक्षपात
121,713,92,7.75,0.4517,0.0002,3.2011,त्याच्या आजाराबद्दल आणखी माहिती मिळवण्यास त्याला मदत करा मुंबई – राम मंदिर बांधण
122,828,97,8.54,0.4696,0.0002,3.1913,हळूहळू थंड पाणी ओतणे आणि गुठळी न गुळगुळीत होईपर्यंत नीट ढवळून घ्यावे आपल्याला जर
123,1303,177,7.36,0.4858,0.0002,3.267,रूग्णालयात रूग्णाच्या जीवाचे काही बरेवाईट झाले तर डॉक्टर जबाबदार आहे की रूग्णालय
124,967,95,10.18,0.3903,0.0002,3.267,या सोहळ्यासाठी राष्ट्रपती प्रणव मुखर्जी यांच्यासह पंतप्रधान मनमोहन सिंह गृहमंत्र
125,898,112,8.02,0.4737,0.0002,3.2282,तर मृतांची संख्या वाढण्याची भीती व्यक्त करण्यात येत आहे यात प्रेम चोप्रा परेश रा
126,725,89,8.15,0.4721,0.0002,3.2164,उत्तर प्रदेश हे देशातील सर्वात मोठे राज्य आहे जिथे खासदारांची संख्या 80 आहे या प
127,939,134,7.01,0.5006,0.0002,3.256,हे एकून ते सगळे दावीदकडे परत आले आणि नाबाल बोलला ते सर्व त्यांनी त्याला सांगितले
128,850,95,8.95,0.4387,0.0002,3.2171,तरीपण तो आपल्या लोकांचे “योग्य शासन ” करतो त्यामुळे त्यांच्याविरुद्ध न्यायालयात 
129,819,96,8.53,0.4487,0.0003,3.1869,आपण आपल्या वैऱ्‍यांवर प्रेम का केले पाहिजे आणि यामुळे काय होण्याची शक्यता आहे क
130,724,77,9.4,0.4145,0.0002,3.1869,काँग्रेस आणि राष्ट्रवादी काँग्रेसच्या अनेक नेत्यांना बुधवारी भाजपमध्ये प्रवेश दे
131,953,129,7.39,0.4734,0.0002,3.267,आज एक समाज म्हणून आपण एकदाच वापरता येणाऱ्या प्लास्टिकपासून मुक्ती मिळवायला हवी ”
132,766,106,7.23,0.4857,0.0002,3.2216,सिंगापूर फिन टेक महोत्सवात पहिला शासन प्रमुख म्हणून भाषण देण्याची संधी लाभली हा 
133,1235,133,9.29,0.4349,0.0002,3.2404,मेक इन इंडिया सप्ताहाच्या शुभारंभाच्या आधी पंतप्रधान नरेंद्र मोदी यांनी मुंबईतील
134,888,108,8.22,0.4402,0.0002,3.2254,तोपर्यंत दोघांच्या नातेवाईकांना अपघाताबाबत माहिती मिळाल्यानंतर त्यांनीही घटनास्थ
135,1117,153,7.3,0.4914,0.0002,3.2162,चेन्नई सुपर किंग्ज या आयपीएल संघाची मालकी असलेल्या इंडिया सिमेंट्‌स कंपनीत द्रवि
136,1100,139,7.91,0.4585,0.0002,3.2341,तेव्हा पूर्ण मनाने देवाची सेवा करण्याचा आपल्या स्वतःकरता काय अर्थ होतो हे जाणून 
137,1246,157,7.94,0.489,0.0002,3.2998,तर आपल्याला माहीतच असेल कि हा घानाचा जलोफ तांदूळ आहे जो ते खातात आणि जो त्यांना 
138,996,124,8.03,0.4522,0.0002,3.1879,भाजप नरेंद्र मोदी आणि अमित शहा ईशान्य भारत जाळत आहेत लिपीचा अर्थ लावणं हे केवळ ए
139,634,79,8.03,0.4504,0.0002,3.2014,हे ध्येय साध्य करण्यासाठी प्रामाणिकतेने प्रयत्न होत आहेत जोरदार पावसामुळे आसाममध
140,900,101,8.91,0.4359,0.0002,3.2099,तसंच दिल्ली विधानसभेत ईव्हीएममध्ये छेडछाड कशी करता येऊ शकते याचा डेमो आम आदमी पक
141,981,119,8.24,0.4532,0.0002,3.267,हा चित्रपट काशिनाथ सिंग यांच्या ‘काशी का अस्सी’ या कादंबरीवर आधारित आहे आंतरराष्
142,693,79,8.77,0.426,0.0002,3.2118,मागील लोकसभा निवडणुकीत सिन्हा हे भाजपाच्या तिकिटावर पटना साहिब येथूनच विजयी झाले
143,1049,126,8.33,0.4625,0.0002,3.1969,आरबीआयने दिलेल्या माहितीनुसार बँक आता त्या परिस्थितीमध्ये नाही आहे की ती सध्याच्
144,520,74,7.03,0.5149,0.0002,3.267,दोष केवळ त्‍या अधिकायांचा नसतो इंग्लंडतर्फे सर्वाधिक कसोटी सामन्यात तो खेळला कधी
145,765,72,10.62,0.3979,0.0002,3.211,भारताचा कर्णधार महेंद्रसिंग ढोणीने विजयाचे श्रेय उंचावलेल्या सांघिक कामगिरीला दि
146,638,76,8.39,0.435,0.0002,3.2289,काँग्रेसचे नेते आणि पंजाब मंत्रिमंडळातील मंत्री नवज्योतसिंग सिद्धू यांनीही केजरी
147,1121,135,8.3,0.4447,0.0002,3.267,त्या खारूताईने तर प्रेरणा घेऊन सेतू बांधण्याच्या कार्यात आपला चिमुकला वाटा देण्य
148,779,71,10.97,0.3618,0.0001,3.2034,तसेच सध्या आंतरराष्ट्रीय बाजारात कच्च्या तेलाचे दर कमी झालेत याचा व्हीडीओ सोशल म
149,702,78,9.0,0.4201,0.0002,3.267,जखमीवर जिल्हा शासकीय रुग्णालयात उपचार सुरु आहेत यहोवाला विश्‍वासू राहणे आपल्याला
150,837,99,8.45,0.457,0.0002,3.267,विधानसभा निवडणूक पारदर्शक पद्धतीने पार पाडण्यासाठी आवश्यक ती सर्व खबरदारी घेतली 
151,698,79,8.84,0.441,0.0002,3.267,नरेंद्र मोदींच्या नेतृत्वाखाली भाजपला सलग दोन वेळा बहुमत मिळाले राजीव गांधी यांच
152,857,104,8.24,0.4709,0.0002,3.194,ते म्हणाले की सिक्किमने निसर्गाशी समतोल राखत जगण्याचा आदर्श ठेवला आहे आणि म्हणून
153,1297,140,9.26,0.4002,0.0002,3.267,ऑस्ट्रेलियाच्या यंदाच्या टीममध्ये डेव्हिड वॉर्नर आणि स्टीव्ह स्मिथ यांचं पुनरागम
154,1158,129,8.98,0.4036,0.0002,3.2298,नवी मुंबई नवी मुंबई येथील आंतरराष्ट्रीय विमानतळाचे भूमिपूजन पंतप्रधान नरेंद्र मो
155,848,89,9.53,0.4334,0.0002,3.267,या भेटीमुळे अमेरिकाभारत सामरिक भागीदारी आणखी मजबूत होईल आणि अमेरिकन आणि भारतीय ल
156,946,129,7.33,0.5007,0.0002,3.2053,उपांत्य फेरी गाठण्याच्या आशा कायम ठेवण्यासाठी त्यांना उर्वरित दोन्ही सामने जिंका
157,1066,126,8.46,0.4341,0.0002,3.1869,दरम्यान विधानसभा निवडणुकीच्या तोंडावर राष्ट्रवादी आणि कॉंग्रेसमधून अनेक नेत्यांन
158,1040,126,8.25,0.4327,0.0002,3.1869,पश्चिम हिमालयाकडून येणाऱ्या थंड वाऱ्यांमुळे मौदानी भागातील तापमानात आणखी घट होण्
159,785,111,7.07,0.5157,0.0002,3.2033,मी लवकरचं यावर विस्तृत स्पष्टीकरण देईल असे त्याने स्पष्ट केले आहे दुसर्‍या सामन्
