Rank,OrigIdx,Text_Preview,N_Words,Fert_Augmented,Fert_Retrained,Phase1_Best,BLT_Fertility,N_Patches,Delta,Categories
16,22768,सुनावणीनंतर उत्सुकता शिगेला पोहोचली,4,1.0,1.0,1.0,1.5,6,0.5,Very short sentence (< 5 words)
17,22854,त्याचे अनेक हिरोज होते,4,1.25,1.0,1.0,1.5,6,0.5,Very short sentence (< 5 words)
18,23137,त्याला प्राप्त करणे आमचे कर्तव्य आहे”,6,1.0,1.1667,1.0,1.5,9,0.5,Rare Unicode / uncommon Devanagari
19,23659,परंतु आम्ही त्यावर काम करत आहोत,6,1.0,1.0,1.0,1.5,9,0.5,Rare Unicode / uncommon Devanagari
20,23662,परंतु ते तसे नव्हते तर ती एक सरकारी प्रकरण होती,10,1.0,1.0,1.0,1.5,15,0.5,Rare Unicode / uncommon Devanagari
21,23701,त्याच्यामध्ये भरपूर आत्मविश्वास आलाय,4,1.0,1.0,1.0,1.5,6,0.5,Rare Unicode / uncommon Devanagari; Very short sentence (< 5 words)
22,23769,वटवाघळे प्रत्यक्षात आंधळी नसतात,4,2.0,1.0,1.0,1.5,6,0.5,Rare Unicode / uncommon Devanagari; Very short sentence (< 5 words)
23,23947,प्रोत्साहनाच्या संदेशांसाठी आभारी आहे”,4,1.5,1.75,1.5,2.0,8,0.5,Long compound words; Rare Unicode / uncommon Devanagari; Very short sentence (< 5 words)
24,24052,अभ्यास इतिहास,2,1.0,1.0,1.0,1.5,3,0.5,Very short sentence (< 5 words)
25,24248,ओह नाही,2,1.0,1.0,1.0,1.5,3,0.5,Very short sentence (< 5 words)
26,24351,शक्यच नाही,2,1.0,1.0,1.0,1.5,3,0.5,Very short sentence (< 5 words)
27,24402,यामुळे आमच्यात फूट पडली,4,1.0,1.0,1.0,1.5,6,0.5,Very short sentence (< 5 words)
28,22763,आणि कार्यालयांमध्ये पाहणाऱ्या लोकांची संख्या मोजण्यात नेल्सनला सामान्यतः काही समस्या येते,11,1.0909,1.1818,1.0909,1.5455,17,0.4545,Long compound words; Rare Unicode / uncommon Devanagari
29,22843,आणि याच पद्धतीने तो महत्वपूर्ण गोल झाला,7,1.0,1.0,1.0,1.4286,10,0.4286,Rare Unicode / uncommon Devanagari
30,24353,कोणी अशा प्रकारे एखाद्याच्या मागे लागते का,7,1.0,1.0,1.0,1.4286,10,0.4286,Rare Unicode / uncommon Devanagari
31,23789,नाही नाही नाही नाही नाही,5,1.0,1.0,1.0,1.4,7,0.4,Other
32,24281,त्याचा नंतर रुग्णालयात मृत्यू झाला,5,1.0,1.0,1.0,1.4,7,0.4,Rare Unicode / uncommon Devanagari; Domain-specific: medical
33,24291,स्वच्छ पाणी दुर्मीळ झाले आहेत,5,1.0,1.0,1.0,1.4,7,0.4,Rare Unicode / uncommon Devanagari
34,22748,काहीवेळेस यामुळे अल्प अंतरात तापमानामध्ये नाटकीय बदल होतात,8,1.25,1.0,1.0,1.375,11,0.375,Rare Unicode / uncommon Devanagari
35,23246,यातील प्रत्येक खेळाडूने बाकी ठेवलेल्या गोष्टींबद्दल आता आहे,8,1.0,1.0,1.0,1.375,11,0.375,Rare Unicode / uncommon Devanagari
36,23890,“मला माझ्या देशासाठी एक खेळाडू म्हणून खेळायचे होते,8,1.0,1.125,1.0,1.375,11,0.375,Rare Unicode / uncommon Devanagari
37,22849,अप्रतिम लिविंगस्टनकडून विश्लेषण,3,2.0,1.6667,1.6667,2.0,6,0.3333,Rare Unicode / uncommon Devanagari; Very short sentence (< 5 words)
38,22857,ते गेरार्डच्या नेतृत्वाखाली होते तितक्याच प्रमाणात ते त्यांच्या प्रमाणित खेळापेक्षा कमी पडले,12,1.4167,1.0833,1.0833,1.4167,17,0.3333,Rare Unicode / uncommon Devanagari
39,22864,या शहरामध्ये तुर्कीच्या बाहेर सर्वाधिक प्रमाणात तुर्कीश लोकसंख्या आहे,9,1.2222,1.0,1.0,1.3333,12,0.3333,Rare Unicode / uncommon Devanagari
40,23363,ते आवडले नाही,3,1.0,1.0,1.0,1.3333,4,0.3333,Very short sentence (< 5 words)
41,23372,त्यांनी व्यासपीठाच्या मागे माझ्यावर दादागिरी केली,6,1.0,1.0,1.0,1.3333,8,0.3333,Rare Unicode / uncommon Devanagari
42,23441,त्यांनी आरोपकर्त्यांच्या हेतूंवर संशय घ्यायचा नसतो,6,1.5,1.3333,1.3333,1.6667,10,0.3333,Long compound words; Rare Unicode / uncommon Devanagari
43,23711,केवळ खेळच नाही तर त्यापेक्षाही तो अधिक काही देतो,9,1.1111,1.0,1.0,1.3333,12,0.3333,Rare Unicode / uncommon Devanagari
44,23791,माझ्या नावाचा वापर करून ते स्वतःचा प्रचार करू इच्छितात,9,1.0,1.0,1.0,1.3333,12,0.3333,Rare Unicode / uncommon Devanagari
45,23792,ते सामान्य आहे,3,1.0,1.0,1.0,1.3333,4,0.3333,Very short sentence (< 5 words)
46,24090,इथून सुरुवात करा,3,1.0,1.0,1.0,1.3333,4,0.3333,Very short sentence (< 5 words)
47,24191,त्यांच्याकडे ही सुत्रे असती तर आम्ही आतापर्यंत बाहेर असतो असे ते म्हणाले,12,1.3333,1.0,1.0,1.3333,16,0.3333,Rare Unicode / uncommon Devanagari
48,24244,मी केलेले नाही”,3,1.3333,1.3333,1.3333,1.6667,5,0.3333,Very short sentence (< 5 words)
49,24469,ती रडली का,3,1.3333,1.0,1.0,1.3333,4,0.3333,Very short sentence (< 5 words)
50,23793,माझे नाव घेऊन ते प्रसिद्धी मिळवू पाहत आहेत परंतु हा कामाचा भाग आहे,13,1.0,1.0,1.0,1.3077,17,0.3077,Rare Unicode / uncommon Devanagari
51,24071,हा माझा इतिहास आहे मग मी भविष्याबद्दल सकारात्मक का नसेन,10,1.1,1.0,1.0,1.3,13,0.3,Rare Unicode / uncommon Devanagari
52,24304,सात जणांना रुग्णालयात नेण्यात आले आहे असे अधिकाऱ्यांनी शुक्रवारी सांगितले,10,1.0,1.0,1.0,1.3,13,0.3,Rare Unicode / uncommon Devanagari; Domain-specific: medical
53,23025,कायदेशीररित्या बंधनकारक नसले तरी संसदेच्या पुरेशा संख्येतील सदस्यांनी म्हटले आहे की हे मत निर्णायक होण्यासाठी आपण या मता,21,1.0952,1.0,1.0,1.2857,27,0.2857,Rare Unicode / uncommon Devanagari; Domain-specific: legal
54,23583,त्या सुरक्षित असतील अशी मी आशा करतो,7,1.0,1.0,1.0,1.2857,9,0.2857,Rare Unicode / uncommon Devanagari
55,22728,रोसा वादळाच्या प्रभावाने नैऋत्य अमेरिकेत व्यापक प्रमाणात जोरदार पाऊस पडणार आहे,11,1.0909,1.0,1.0,1.2727,14,0.2727,Rare Unicode / uncommon Devanagari
56,23185,स्वतंत्र शाळा त्यांच्या विद्यार्थ्यांना पुढील आणि उच्च शिक्षणासाठी त्यांच्या निवडलेल्या करियरसाठी आणि एक जागतिक नागरिक म,22,1.4091,1.0455,1.0455,1.3182,29,0.2727,Long compound words; Rare Unicode / uncommon Devanagari
57,24080,गुरुवार सुरु होत आहे हि युरोपातील अजून एक मोठी रात्र आहे,11,1.0,1.0,1.0,1.2727,14,0.2727,Other
58,24225,वायडे आपल्या मित्राला वाचवण्यासाठी मध्ये पडले आणि सिम्पसने त्यांच्यावर गोळी झाडली,11,1.5455,1.1818,1.1818,1.4545,16,0.2727,Rare Unicode / uncommon Devanagari
59,22692,ती वारंवार म्हणत होती हे अतिशय वाईट आहे,8,1.0,1.0,1.0,1.25,10,0.25,Other
60,22953,हे अतिशय वाईट आहे,4,1.0,1.0,1.0,1.25,5,0.25,Very short sentence (< 5 words)
61,22959,तसे अद्याप घडलेले नाही,4,1.0,1.0,1.0,1.25,5,0.25,Very short sentence (< 5 words)
62,23345,माणूस ते काय आहे,4,1.0,1.0,1.0,1.25,5,0.25,Very short sentence (< 5 words)
63,23423,अशा संबंधांतील अपुऱ्या संरक्षणामुळे रोगांचे बहुतेक संक्रमण होते,8,1.375,1.0,1.0,1.25,10,0.25,Rare Unicode / uncommon Devanagari
64,23475,स्रोतांच्या म्हणण्यानुसार ही कल्पना पक्षाच्या देशाला कर्मचाऱ्यांच्या हिताकडे झुकवण्याच्या आर्थिक विषयपत्रिकेत आणि धोरणां,16,1.5,1.0625,1.0625,1.3125,21,0.25,Long compound words; Rare Unicode / uncommon Devanagari
65,23490,हो नक्कीच केनेडी म्हणाले,4,1.25,1.0,1.0,1.25,5,0.25,Rare Unicode / uncommon Devanagari; Very short sentence (< 5 words)
66,23907,मी आज देखील कामाच्या तणाव आणि दबावाच्या परिस्थितींमधून जातो पण तरी देखील व्यवस्थापन माझ्यासाठी उचित वाटते,16,1.125,1.0625,1.0625,1.3125,21,0.25,Rare Unicode / uncommon Devanagari
67,23944,मी चालू शकत नव्हतो,4,1.0,1.0,1.0,1.25,5,0.25,Very short sentence (< 5 words)
68,24104,कुत्र्याची काळजी कोण घेणार,4,1.25,1.0,1.0,1.25,5,0.25,Rare Unicode / uncommon Devanagari; Very short sentence (< 5 words)
69,24110,पिडीताने हल्लेखोराला पहिले नाही,4,1.25,1.25,1.25,1.5,6,0.25,Very short sentence (< 5 words)
70,24112,इंडोनेशियामध्ये भूकंप आणि त्सुनामी,4,1.25,1.0,1.0,1.25,5,0.25,Long compound words; Rare Unicode / uncommon Devanagari; Very short sentence (< 5 words)
71,24144,प्रसारमाध्यमांनी दिलेल्या अहवालात त्याला शनिवारी न्यायालयामध्ये उपस्थित केले जिथे त्याला विचारणा केली गेली असताना त्याने,20,1.0,1.0,1.0,1.25,25,0.25,Long compound words; Rare Unicode / uncommon Devanagari
72,24209,हा सगळा बनाव आहे,4,1.0,1.0,1.0,1.25,5,0.25,Very short sentence (< 5 words)
73,24326,त्याने तिला आपल्या आयुष्यातून काढून टाकले हेल म्हणाले,8,1.125,1.0,1.0,1.25,10,0.25,Rare Unicode / uncommon Devanagari
74,22603,आम्ही विशेषरित्या प्रशिक्षित सहकाऱ्यांमध्ये देखील गुंतवणूक केली आहे जे सल्ला देण्यासाठी तत्पर असतील,13,1.2308,1.0769,1.0769,1.3077,17,0.2308,Rare Unicode / uncommon Devanagari
75,24083,संघ चांगला आहे आणि मुले खरोखरच याचा आनंद घेत आहेत प्रशिक्षण चांगले आहे,13,1.0769,1.0,1.0,1.2308,16,0.2308,Rare Unicode / uncommon Devanagari
76,24393,२०१४ मध्ये टायलरने आत्महत्या केली त्यावेळी ११ वर्षांच्या असलेल्या भावानेच त्याला मृतावस्थेत बघितले,13,1.1538,1.0769,1.0769,1.3077,17,0.2308,Rare Unicode / uncommon Devanagari
77,22555,बार्स अदृश्य झाले हे समजण्यासारखे आहे असं ते म्हणाले,9,1.4444,1.0,1.0,1.2222,11,0.2222,Rare Unicode / uncommon Devanagari
78,22616,बाहेर पडण्याच्या तिच्या निर्णयाने समाविष्ट प्रत्येक जण अचंबित झाला,9,1.1111,1.0,1.0,1.2222,11,0.2222,Rare Unicode / uncommon Devanagari
79,23522,आणि अधिकाऱ्यांच्या म्हणण्यानुसार हे हाताळण्याचे मार्ग व साधने आहेत,9,1.3333,1.0,1.0,1.2222,11,0.2222,Rare Unicode / uncommon Devanagari
80,23582,तिचे आणि माझ्या मुलीचे काय झाले मला माहीत नाही,9,1.1111,1.0,1.0,1.2222,11,0.2222,Other
81,23658,परंतु तेथे रविवारच्या सकाळचे सहा वाजले होते आणि आम्ही आमच्या रविवारपर्यंत म्हणजेच त्यांच्या सोमवारपर्यंत ते करू शकणार नव,18,1.1111,1.0,1.0,1.2222,22,0.2222,Rare Unicode / uncommon Devanagari
82,24382,त्याला माझ्या प्रेमाची मी त्याला समजून घेण्याची गरज होती,9,1.0,1.0,1.0,1.2222,11,0.2222,Rare Unicode / uncommon Devanagari
83,24383,मला माहीत होते त्याचे तिच्यावर किती प्रेम होते ते,9,1.1111,1.0,1.0,1.2222,11,0.2222,Rare Unicode / uncommon Devanagari
84,24384,दुखातील स्त्रिया पुलावरून होणाऱ्या आत्महत्या टाळण्यासाठी कार्ड्स पोस्ट करतात,9,1.4444,1.1111,1.1111,1.3333,12,0.2222,Rare Unicode / uncommon Devanagari
85,23840,हे राष्ट्रपती त्यांच्या अगोदरच्या कोणत्याही राष्ट्रपतींपेक्षा जास्त प्रश्नोत्तरांच्या सत्रांचे आयोजन करतात त्या म्हणाल्य,24,1.375,1.0417,1.0417,1.25,30,0.2083,Long compound words; Rare Unicode / uncommon Devanagari
86,23306,या वर्षी पहिल्यांदा प्रस्तुत केलेला हा अभ्यासक्रम विद्यार्थ्यांना चांगल्या झोपेची सवय कशा रीतीने विद्यार्थ्यांना आणि खेळ,29,1.2069,1.0,1.0,1.2069,35,0.2069,Long compound words; Rare Unicode / uncommon Devanagari
87,22638,लक्षावधी लोक मारले गेले असते,5,1.0,1.0,1.0,1.2,6,0.2,Other
88,22751,पुढील काही दिवसांमध्ये उन्हाळ्याचा रेंगाळलेला उष्मा पुन्हा वाढेल आणि विस्तारेल,10,1.3,1.0,1.0,1.2,12,0.2,Rare Unicode / uncommon Devanagari
89,22824,हा संघर्ष अधिकाधिक तणावपूर्ण होत चालला आहे असं त्यांनी सांगितलं,10,1.0,1.0,1.0,1.2,12,0.2,Rare Unicode / uncommon Devanagari
90,23404,मला वाटते हा आपल्या काळातील मोठ्या प्रश्नांपैकी खरोखरच एक प्रश्न आहे आपण ते कसे बदलावे,15,1.2,1.0,1.0,1.2,18,0.2,Rare Unicode / uncommon Devanagari
91,23630,आम्ही त्यांची परवानगी मागत नाही,5,1.8,1.0,1.0,1.2,6,0.2,Rare Unicode / uncommon Devanagari
92,23732,जेव्हा तो वेग एका दिशेने जात असतो तेव्हा तो मधल्या सामन्यांवर भरपूर दबाव निर्माण करतो,15,1.0667,1.0,1.0,1.2,18,0.2,Rare Unicode / uncommon Devanagari
93,23905,परंतु खेळणे कठीण असू शकते,5,1.0,1.0,1.0,1.2,6,0.2,Other
94,24369,आणि मी तिला निरोप दिला,5,1.0,1.0,1.0,1.2,6,0.2,Other
95,24379,कोणालाच माहीत नव्हते त्या म्हणाल्या,5,1.2,1.0,1.0,1.2,6,0.2,Rare Unicode / uncommon Devanagari
96,13333,संविधानाच्या आधारे कायदे होतात व कायद्याच्या आधारे देश चालतो या कार्यक्रमात गृहराज्यमंत्री किरेन रिजीजू यांचेही भाषण झाल,33,1.1212,1.0,1.0,1.1818,39,0.1818,Rare Unicode / uncommon Devanagari
97,22742,पुढे येत असलेल्या फुगवट्याने दक्षिण कॅलिफोर्निया किनारपट्टीच्या भागांमध्ये जोरदार पाऊस येईल,11,1.2727,1.0909,1.0909,1.2727,14,0.1818,Rare Unicode / uncommon Devanagari
98,22774,त्यांना सांगण्यात आले इतक्या सगळ्या महिला शक्तिहीन असताना तुमच्याकडे सत्ता आहे,11,1.0909,1.0909,1.0909,1.2727,14,0.1818,Rare Unicode / uncommon Devanagari
99,23149,मोरालेसच्या आक्रमक वक्तृत्वकौशल्याने उरलेल्या चिलीच्या प्रतिष्ठेस संपवून टाकले आहे त्यांनी सुचविले,11,1.4545,1.2727,1.2727,1.4545,16,0.1818,Long compound words; Rare Unicode / uncommon Devanagari
100,24087,देशभरातील अभ्यासात जवळजवळ निम्म्या लोकांनी सांगितले की ते त्यांच्या पतीपत्नी बरोबर दीर्घकाल काळजी घेण्याबद्दलच्या खर्चाव,17,1.4118,1.0588,1.0588,1.2353,21,0.1765,Long compound words; Rare Unicode / uncommon Devanagari
